pH,Salinity,Turbidity ,Water Temperature,TDS
7.6,0.2,3,19.9,290
7.4,0.1,0.5,20.7,120
7.3,0.2,10.7,23.6,200
8,0.1,3,27,94
7.8,0.4,1.4,28.4,330
7.6,0.2,21.9,22.9,350
7.1,0.1,6.1,17.3,140
7.1,0.1,9.7,20,150
7.1,0.1,6.6,21.4,160
7.7,0.1,21.8,26.1,150
7.5,0.2,12.6,29.2,130
7.3,0.1,21.1,19,190
8.2,0.2,14.9,15.6,150
7.8,0.1,3.3,24.2,110
7.6,0.1,24.3,18.8,190
7.5,0.1,1.5,27.7,250
7.7,0.1,25.9,30.2,160
8.1,0,2.3,28.5,68
8.6,0.1,3.4,26.8,110
7.4,0.2,5.4,26.4,300
8.3,0.3,2.2,18.1,240
7.3,0.1,10.7,20.5,140
7.6,0.2,13.3,26.7,210
7.2,1.5,7.3,23.6,1700
7.2,0.1,2.6,18.9,120
8.6,0.2,9.1,35.9,130
7.5,0.2,4.8,31.5,230
8.4,0,2,29.6,200
7.8,0,72.5,25.5,190
8.1,0.2,15.3,17.7,170
7.3,0.1,4.5,18,260
8,0.1,10.7,21.8,140
7.9,0.1,55.7,16.7,310
7.3,0.1,3.3,31.3,220
7.7,0.1,3.8,29.7,100
8,0.2,2.9,17.9,110
7.7,0.1,3,20.5,190
6.9,0.1,4.3,29.4,99
7.2,0.6,10,15.9,770
7.3,0,4.2,25.2,68
7.4,0.2,6.5,18.3,190
7,0.2,5.1,27.6,250
7.2,0.1,6.6,25.1,86
7.9,0.1,21.7,22.9,220
8.3,0.1,3.8,18.8,110
7.1,0.2,3.5,16.3,290
7.7,0.2,10.8,26.5,450
8.2,0.2,1.3,30,230
8.4,0.1,3.3,31.6,180
7.8,0.11,4,29.8,390
7,0.2,6.7,24.7,340
7.3,0.1,2.2,21.4,150
7.2,0.1,5.4,20.8,580
8.1,0.1,1.1,25.1,140
7.3,1,2.7,28.6,1300
7.8,0.1,9.5,22.5,110
7.3,0.1,3.1,22.4,110
7.6,0.4,3.8,25.3,210
8.3,0.3,3.8,30.3,260
7.3,0.1,0.5,21.1,100
7.7,0.1,68.8,15.5,200
9.2,0.2,92.6,28.2,490
7.5,0.1,24,25.7,180
7.8,0.2,8.1,22.4,140
7.1,0,3,18.1,140
8.1,0.1,2.6,12.1,140
7.2,0.1,5.7,27.7,200
8.2,0.2,2.9,34,200
7.7,0.1,16.8,25.7,140
8,0.1,2.8,30.5,160
8.8,0.1,52.5,31.4,220
9,0.2,4.5,32.9,320
7.5,0.1,5,28.2,98
7.6,0.2,8.2,26.6,190
7.5,0.1,8.3,24.2,150
7.2,0.2,8.6,24.7,240
7.5,0.1,0.6,29.4,130
7.7,0.8,4.6,21,1000
8.5,0.1,6.9,29.1,110
7.6,0.1,15.4,27.2,250
7.3,0.1,3.3,21.2,80
7.8,0.1,4.4,29.8,120
7.4,0.1,0.8,31.3,180
8.9,0.1,3.1,29.9,160
7.1,0.2,3.2,22.7,380
7.3,0.1,5.9,25.3,52
7.2,0.3,24.2,18.7,360
7.5,0.1,3.1,23.1,86
7.3,0.1,9.1,20.7,140
7.6,0.1,4.3,28.3,110
7.5,0.2,6.7,24.4,320
7.6,0.1,14.6,23.8,200
8.2,0.1,1.7,19.8,130
7.4,0.1,4.1,31.1,170
7.6,0.1,71,17.5,240
6.9,0.1,2.3,15.3,250
7.7,0,0.7,27.1,83
7.3,0.1,6.7,29.9,180
7.5,0.1,25,23.3,160
7.6,0.1,44.9,27.8,220
7.8,0.1,3.9,21.3,160
7.3,0,3.9,24.8,91
7.4,0.1,2.7,22.3,180
7.9,0.1,2.6,23.3,110
7,0.2,3.5,24,270
7.8,0.2,0.9,30.8,200
7.5,0.1,5.2,23.6,180
8.4,0.1,2.1,30.3,140
8.2,0.3,15.5,30.7,390
7.6,0,1.9,27.2,90
8,0.1,3.3,25.5,96
7.1,0.3,3.1,23.3,450
7.7,0.1,1.7,33.2,180
8.4,0.1,2.8,31.6,150
7.7,0.2,2.8,20.2,180
7.1,0.1,7.5,17.9,180
7.9,0.9,10,27.1,1100
8,0.2,14,25.9,190
8.1,0.1,6.3,24.6,220
8,0.3,5.3,25,550
7.4,0.2,18.6,19.5,190
7.3,0.3,3.3,23.4,350
7.9,0.1,4.6,24.4,130
7.9,0.1,11.2,20.6,200
7.7,0.2,2.1,27.9,210
7.3,0.2,28.5,28.6,270
7.7,0,10.8,25.8,94
7.4,0.1,43.9,27.5,140
7.2,0.1,3.7,27.3,180
7.3,0.1,3.6,29.2,150
7.7,0.2,5.9,29.4,220
7.9,0.2,3.7,30.5,180
8.1,0.2,1.7,33.3,220
7.8,0.1,6.4,25.7,90
6.9,0.1,5.1,19.4,140
8.6,0.2,18.4,23,190
7.6,0.3,7.4,23.2,380
7.5,0.1,5,23.5,180
7.5,0.4,8.6,30.3,630
8.1,0.1,33.4,27.9,530
8.7,0.3,3,29.7,410
7.6,0.1,7.7,24.2,100
7.4,0.3,2,18.8,410
7.8,0.1,9.4,25.7,85
7.4,0.1,18.4,28.4,170
8,0.1,3.1,28.4,160
7.6,0.2,2.9,30.3,670
7.3,0.1,6.3,20.4,210
7.5,0.1,3.1,25.9,110
7.4,0.1,32.1,25.1,180
7.4,0.2,2.5,31.5,180
7.7,0.1,57.8,31,170
7.6,0.1,4.6,22.9,110
7.7,0.1,5.6,22,130
7.9,0.1,92.1,29.3,270
7.7,0,15.3,27.2,90
7.5,0.1,1.9,25.3,230
8,0.1,24.6,27.8,670
7.6,0,8.7,29.7,85
7.7,0.1,3.6,29.4,150
7.5,0.2,25.6,22.6,220
8,0.1,18.4,28.7,140
8.1,0.3,5.4,16.4,160
7.3,0.3,6,29.3,370
6.9,0.2,2.6,25.9,280
8,0.1,4.5,29,190
7.6,0.2,3.5,26,150
7.6,0.1,3.1,33.4,180
8.3,0.1,3.7,32.5,140
7.5,0.1,19.6,29.3,140
7.3,0.2,8.2,16.9,220
8.1,0.2,3.3,26.2,360
6.8,0.2,2.9,25.7,260
